City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
196,aitape,PG,2024-05-09,-3.1374,142.3475,99,82,82.958,2
197,chabahar,IR,2024-05-09,25.2919,60.643,0,71,84.48800000000006,7.02
198,luderitz,NA,2024-05-09,-26.6481,15.1594,0,85,54.98599999999997,5.67
199,san luis,AR,2024-05-09,-33.295,-66.3356,35,49,48.29000000000002,0.93
200,takamaka,,,,,,,,
201,fortuna,US,2024-05-09,40.5982,-124.1573,20,52,69.18800000000005,3.09
202,kavieng,PG,2024-05-09,-2.5744,150.7967,82,75,84.03800000000004,2.4
203,yulinshi,CN,2024-05-09,38.2906,109.7494,100,21,79.95199999999997,7.66
204,east london,ZA,2024-05-09,-33.0153,27.9116,35,84,67.47799999999997,2.09
205,alaghsas,NE,2024-05-09,17.0187,8.0168,78,14,89.29399999999998,1.49
206,slave lake,CA,2024-05-09,55.2834,-114.769,0,41,61.05199999999998,4.63
207,dambatta,NG,2024-05-09,12.433,8.5154,100,43,88.17799999999997,4.61
208,barakani,KM,2024-05-09,-12.1356,44.4317,0,70,80.54600000000005,7.37
209,hermanus,ZA,2024-05-09,-34.4187,19.2345,0,78,55.616000000000014,3.98
210,byron bay,AU,2024-05-09,-28.65,153.6167,66,55,69.98000000000005,3.87
211,sur,OM,2024-05-09,22.5667,59.5289,0,45,91.14800000000002,2.55
212,sucre,BO,2024-05-09,-19.0333,-65.2627,43,82,58.11799999999998,2.04
213,bereeda,SO,2024-05-09,11.8704,51.0579,71,76,84.74000000000002,3.11
214,dharmabad,IN,2024-05-09,18.9,77.85,21,39,91.00399999999996,2.3
215,boa vista,BR,2024-05-09,2.8197,-60.6733,75,94,77.25199999999998,1.54
216,pindushi,RU,2024-05-09,62.9152,34.58,9,77,29.875999999999987,4.19
217,puerto santa,PE,2024-05-09,-8.9906,-78.6456,100,89,66.72200000000004,4.32
218,san antonio oeste,AR,2024-05-09,-40.7319,-64.9477,35,41,53.690000000000026,4.47
219,vyritsa,RU,2024-05-09,59.4078,30.3481,98,80,40.78399999999999,2.56
220,ahau,,,,,,,,
221,tazacorte,ES,2024-05-09,28.629,-17.9293,0,75,67.44200000000001,6.69
222,new norfolk,AU,2024-05-09,-42.7826,147.0587,99,81,59.18000000000004,1.31
223,leua,SK,2024-05-09,48.2156,18.6071,83,63,54.76999999999996,2.41
224,kalemie,CD,2024-05-09,-5.9475,29.1947,42,82,72.62599999999999,1.97
225,sabha,LY,2024-05-09,27.0377,14.4283,6,34,66.23599999999996,7.04
226,erenhot,CN,2024-05-09,43.6475,111.9767,100,41,52.98800000000004,15.57
227,chibougamau,CA,2024-05-09,49.9168,-74.3659,0,81,39.092,1.03
228,tindouf,DZ,2024-05-09,27.6711,-8.1474,40,14,83.11999999999996,2.57
229,puerto armuelles,PA,2024-05-09,8.2833,-82.8667,100,77,80.85199999999998,1.79
230,the pas,CA,2024-05-09,53.8251,-101.2541,100,58,52.08800000000005,2.57
231,hushitai,CN,2024-05-09,41.9322,123.5114,100,28,71.78000000000004,10.34
232,broken hill,AU,2024-05-09,-31.95,141.4333,29,53,65.67799999999997,5.75
233,al jawf,SA,2024-05-09,29.5,38.75,0,19,72.35600000000002,5.87
234,bandarbeyla,SO,2024-05-09,9.4942,50.8122,88,75,83.67799999999997,2.91
235,al bardiyah,LY,2024-05-09,31.7561,25.0865,1,70,64.11199999999997,6.63
236,inarajan village,GU,2024-05-09,13.2736,144.7484,36,85,90.842,6.98
237,cam pha mines,VN,2024-05-09,21.0167,107.3,95,74,81.40999999999998,3.03
238,nikolayevsk-on-amure,RU,2024-05-09,53.1406,140.73,94,59,45.48200000000001,4.02
239,youghal,IE,2024-05-09,51.95,-7.8506,100,99,53.07799999999996,1.87
240,paredon,MX,2024-05-09,16.0333,-93.8667,100,69,84.16400000000004,1.54
241,touros,BR,2024-05-09,-5.1989,-35.4608,72,93,77.14399999999998,3.86
242,georgetown,MY,2024-05-09,5.4112,100.3354,20,74,87.99800000000002,2.57
243,gadzhiyevo,RU,2024-05-09,69.2551,33.3362,100,85,30.956000000000028,5.96
244,tocopilla,CL,2024-05-09,-22.092,-70.1979,71,73,65.31799999999998,1.92
245,zhalantun,CN,2024-05-09,48,122.7167,100,55,53.83399999999999,8.77
246,nagqu,CN,2024-05-09,31.5,92,100,36,37.63399999999999,2.88
247,nashville,US,2024-05-09,36.1659,-86.7844,0,55,75.93800000000005,3.09
248,korop,UA,2024-05-09,51.5664,32.9586,98,57,41.35999999999998,2.49
249,katsuren-haebaru,JP,2024-05-09,26.3369,127.8719,40,54,78.368,5.14
250,puerto san carlos,,,,,,,,
251,stephenville,US,2024-05-09,32.2207,-98.2023,40,85,67.208,1.54
252,ambodifotatra,MG,2024-05-09,-16.9833,49.85,29,74,79.26799999999999,7.09
253,north bend,US,2024-05-09,43.4065,-124.2243,0,56,69.98000000000005,4.12
254,cargados carajos,,,,,,,,
255,durant,US,2024-05-09,33.994,-96.3708,75,90,63.23000000000005,0
256,badger,US,2024-05-09,64.8,-147.5333,75,44,54.248000000000026,6.17
257,thenzawl,IN,2024-05-09,23.3167,92.75,100,57,83.46199999999996,0.48
258,lindsdal,SE,2024-05-09,56.7333,16.3,75,94,53.690000000000026,2.06
259,luba,GQ,2024-05-09,3.4568,8.5547,100,83,78.96199999999996,3.12
260,reinfeld,DE,2024-05-09,53.8333,10.4833,75,93,52.12400000000001,1.03
261,port blair,IN,2024-05-09,11.6667,92.75,40,79,86.30600000000004,1.03
262,cidreira,BR,2024-05-09,-30.1811,-50.2056,100,64,62.311999999999955,2.68
263,afaahiti,PF,2024-05-09,-17.75,-149.2833,3,77,82.54399999999998,3.54
264,vadso,NO,2024-05-09,70.0744,29.7487,75,74,30.632000000000016,4.63
265,udachny,RU,2024-05-09,66.4167,112.4,100,71,21.77599999999999,5.24
266,sagarejo,GE,2024-05-09,41.734,45.3315,97,86,56.101999999999975,1.3
267,tondano,ID,2024-05-09,1.3038,124.9112,70,62,84.55999999999997,0.96
268,waounde,SN,2024-05-09,15.2637,-12.8682,87,55,86.84600000000006,11.72
269,tura,IN,2024-05-09,25.5198,90.2201,78,47,85.40600000000003,1.2
270,ta`u,AS,2024-05-09,-14.2336,-169.5144,100,80,82.34600000000006,3.54
271,okhotsk,RU,2024-05-09,59.3833,143.3,100,96,32.95399999999995,9.37
272,tobruk,LY,2024-05-09,32.0836,23.9764,0,74,62.81600000000001,8.23
273,queenstown,ZA,2024-05-09,-31.8976,26.8753,31,43,62.74399999999997,2.9
274,paramonga,PE,2024-05-09,-10.6667,-77.8333,52,89,66.21799999999999,3.64
275,bor,RU,2024-05-09,56.3567,44.0669,85,74,34.71799999999998,6.18
276,wuyang,CN,2024-05-09,31.9925,116.2472,3,30,82.52599999999998,3.66
277,brooks,CA,2024-05-09,50.5834,-111.8851,14,28,68.25199999999998,1.54
278,haiku-pauwela,US,2024-05-09,20.9219,-156.3051,100,93,73.52599999999998,6.17
